Model,Dataset,Metric,Value
TFT,Train,MAE,0.4437294900417328
TFT,Train,MSE,0.35745930671691895
TFT,Train,RMSE,0.5978789925575256
TFT,Train,MAPE,12.84363865852356
TFT,Validation,MAE,4.467215061187744
TFT,Validation,MSE,23.228792190551758
TFT,Validation,RMSE,4.8196258544921875
TFT,Validation,MAPE,39.072564244270325
TFT,Test,MAE,0.8660916090011597
TFT,Test,MSE,1.7628487348556519
TFT,Test,RMSE,1.3277231454849243
TFT,Test,MAPE,11.234389990568161
LSTM,Train,MAE,0.22372044622898102
LSTM,Train,MSE,0.0848543643951416
LSTM,Train,RMSE,0.2912977337837219
LSTM,Train,MAPE,6.608831882476807
LSTM,Validation,MAE,4.203176021575928
LSTM,Validation,MSE,20.040285110473633
LSTM,Validation,RMSE,4.476637840270996
LSTM,Validation,MAPE,37.21562325954437
LSTM,Test,MAE,0.707767903804779
LSTM,Test,MSE,0.8926869034767151
LSTM,Test,RMSE,0.9448211193084717
LSTM,Test,MAPE,10.57160496711731
